Configuration Report for Ex_OntEthSvc generated on Wed Sep 12 11:10:28 CDT 2018
 REGION , NETWORK , DESCR , TAG-ACTION , BW-PROF , OUT-TAG , IN-TAG , MCAST-PROF , ID , PON-COS , US-CIR-OVERRIDE , US-PIR-OVERRIDE , DS-PIR-OVERRIDE , DS-CIR-OVERRIDE , HOT-SWAP , ONT , IGMP-SNOOP , DHCP-SNOOP , MAC-FORCE-FORW , IP-SRC-VERIFY , MULTICAST-FILTERING ,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),113, , ,GE-1-1, , , , , , ,395826,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),639, , ,GE-1-1, , , , , , ,370250,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),601, , ,GE-1-1, , , , , , ,218186,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),548, , ,GE-1-1, , , , , , ,477641,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),44(@HSI-B-Pro-AE),247, , ,GE-1-1, , , , , , ,814141,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),111, , ,GE-1-1, , , , , , ,511617,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),53(@HSI-LITE-AE),125, , ,GE-1-1, , , , , , ,692278,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),618, , ,GE-1-1, , , , , , ,688193,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),2318, , ,GE-1-1, , , , , , ,806625,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),423, , ,GE-1-1, , , , , , ,CXNK0008E83A,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),425, , ,GE-1-1, , , , , , ,924243,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),8(@AE Data 2/20),101, , ,GE-1-1, , , , , , ,CXNK0008EB83,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),419, , ,GE-1-1, , , , , , ,509916,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),711, , ,GE-1-1, , , , , , ,655426,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),418, , ,GE-1-1, , , , , , ,186528,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),55(@HSI-R-Pro-AE),1312, , ,GE-1-1, , , , , , ,827802,N,Y,N,N,Y,
Hicks, , ,21(@dogwood cabins),8(@AE Data 2/20), , , ,GE-1-1, , , , , , ,CXNK0008E6EE,N,N,N,N,N,
Rosiclare, , ,3(@AE Data),57(@HSI-R-Turbo-AE),2622, , ,GE-1-1, , , , , , ,948239,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),53(@HSI-LITE-AE),229, , ,GE-1-1, , , , , , ,663557,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),53(@HSI-LITE-AE),1514, , ,GE-1-1, , , , , , ,188549,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),57(@HSI-R-Turbo-AE),617, , ,GE-1-1, , , , , , ,738729,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),53(@HSI-LITE-AE),107, , ,GE-1-1, , , , , , ,625275,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),1604, , ,GE-1-1, , , , , , ,CXNK000F17D4,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),342, , ,GE-1-1, , , , , , ,649631,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),117, , ,GE-1-1, , , , , , ,966284,N,Y,N,N,Y,
Elizabethtown, , ,3(@AE Data),8(@AE Data 2/20),447, , ,GE-1-1, , , , , , ,CXNK0007919E,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),44(@HSI-B-Pro-AE),309, , ,GE-1-1, , , , , , ,495944,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),8(@AE Data 2/20),320, , ,GE-1-1, , , , , , ,CXNK000957D0,N,Y,Y,Y,Y,
Hicks, , ,21(@dogwood cabins),8(@AE Data 2/20), , , ,GE-1-1, , , , , , ,CXNK0008E70B,N,N,N,N,N,
Elizabethtown, , ,3(@AE Data),55(@HSI-R-Pro-AE),1515, , ,GE-1-1, , , , , , ,CXNK000F1B1D,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),545, , ,GE-1-1, , , , , , ,967379,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),55(@HSI-R-Pro-AE),722, , ,GE-1-1, , , , , , ,660892,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1320, , ,GE-1-1, , , , , , ,213622,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),44(@HSI-B-Pro-AE),2226, , ,GE-3-3, , , , , , ,CXNK00084582,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),412, , ,GE-1-1, , , , , , ,367892,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),347, , ,GE-1-1, , , , , , ,368049,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),55(@HSI-R-Pro-AE),1105, , ,GE-1-1, , , , , , ,887111,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),629, , ,GE-1-1, , , , , , ,830133,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),8(@AE Data 2/20),1134, , ,GE-1-1, , , , , , ,CXNK0006C894,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),8(@AE Data 2/20),435, , ,GE-1-1, , , , , , ,CXNK00079088,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),8(@AE Data 2/20),101, , ,GE-1-1, , , , , , ,CXNK00061CE8,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),718, , ,GE-1-1, , , , , , ,281721,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),2408, , ,GE-1-1, , , , , , ,451459,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),2412, , ,GE-1-1, , , , , , ,CXNK000F1F0A,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),422, , ,GE-1-1, , , , , , ,CXNK000792C4,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),222, , ,GE-1-1, , , , , , ,314795,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),8(@AE Data 2/20),1324, , ,GE-1-2, , , , , , ,CXNK000933E5,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),712, , ,GE-1-1, , , , , , ,CXNK000792EA,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),8(@AE Data 2/20),341, , ,GE-1-1, , , , , , ,CXNK00079353,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),53(@HSI-LITE-AE),1103, , ,GE-1-1, , , , , , ,CXNK0007919A,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),53(@HSI-LITE-AE),1216, , ,GE-1-1, , , , , , ,956808,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),225, , ,GE-1-1, , , , , , ,CXNK000F1801,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),55(@HSI-R-Pro-AE),629, , ,GE-1-1, , , , , , ,153453,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),801, , ,GE-1-1, , , , , , ,672024,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),515, , ,GE-1-1, , , , , , ,571545,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),115, , ,GE-1-1, , , , , , ,597646,N,Y,N,N,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),705, , ,GE-1-1, , , , , , ,274108,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),302, , ,GE-1-1, , , , , , ,153755,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),44(@HSI-B-Pro-AE),1101, , ,GE-2-1, , , , , , ,CXNK00092A3D,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),427, , ,GE-1-1, , , , , , ,964026,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),636, , ,GE-1-1, , , , , , ,908827,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),348, , ,GE-1-1, , , , , , ,190271,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),321, , ,GE-1-1, , , , , , ,473897,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),57(@HSI-R-Turbo-AE),516, , ,GE-1-1, , , , , , ,CXNK00079689,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),413, , ,GE-1-1, , , , , , ,481565,N,Y,Y,Y,Y,
Golconda, , ,23(@TLS),17(@AE TLS 20/20),3998, , ,GE-2-2, , , , , , ,CXNK0007970F,N,N,N,N,N,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),313, , ,GE-1-1, , , , , , ,935601,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),547, , ,GE-1-1, , , , , , ,591489,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),742, , ,GE-1-1, , , , , , ,999241,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),57(@HSI-R-Turbo-AE),1701, , ,GE-1-1, , , , , , ,498290,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),1021, , ,GE-1-1, , , , , , ,294202,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),443, , ,GE-1-1, , , , , , ,378430,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1502, , ,GE-1-1, , , , , , ,141994,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),53(@HSI-LITE-AE),440, , ,GE-1-1, , , , , , ,CXNK0008DE5D,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),406, , ,GE-1-1, , , , , , ,330177,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),610, , ,GE-1-1, , , , , , ,373307,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),401, , ,GE-1-1, , , , , , ,150281,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),644, , ,GE-1-1, , , , , , ,604665,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),822, , ,GE-1-1, , , , , , ,849204,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),209, , ,GE-1-1, , , , , , ,485722,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),740, , ,GE-1-1, , , , , , ,797349,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),55(@HSI-R-Pro-AE),1616, , ,GE-1-1, , , , , , ,612434,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),339, , ,GE-1-1, , , , , , ,495911,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),637, , ,GE-1-1, , , , , , ,944740,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),720, , ,GE-1-1, , , , , , ,798754,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),8(@AE Data 2/20),102, , ,GE-1-1, , , , , , ,CXNK0006455B,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),57(@HSI-R-Turbo-AE),245, , ,GE-1-1, , , , , , ,954349,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),2610, , ,GE-1-1, , , , , , ,406662,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),542, , ,GE-1-1, , , , , , ,785464,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),702, , ,GE-1-1, , , , , , ,434596,N,Y,Y,Y,Y,
Elizabethtown, , ,3(@AE Data),57(@HSI-R-Turbo-AE),1110, , ,GE-1-1, , , , , , ,429602,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),715, , ,GE-1-1, , , , , , ,872737,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),528, , ,GE-1-1, , , , , , ,864437,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),621, , ,GE-1-1, , , , , , ,574702,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),44(@HSI-B-Pro-AE),237, , ,GE-1-1, , , , , , ,CXNK0008E856,N,Y,N,N,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),428, , ,GE-1-1, , , , , , ,138911,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),327, , ,GE-1-1, , , , , , ,596675,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),635, , ,GE-1-1, , , , , , ,797924,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),57(@HSI-R-Turbo-AE),507, , ,GE-1-1, , , , , , ,CXNK0008DE99,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),9(@AE Data 5/50),1610, , ,GE-1-1, , , , , , ,CXNK000F67EC,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),630, , ,GE-1-1, , , , , , ,948997,N,Y,Y,Y,Y,
Rosiclare, , ,35(@Device-Mgt),8(@AE Data 2/20), , , ,GE-1-1, , , , , , ,CXNK000933E4,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),1804, , ,GE-1-1, , , , , , ,947620,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),448, , ,GE-1-1, , , , , , ,129339,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),2524, , ,GE-1-1, , , , , , ,416923,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),610, , ,GE-1-1, , , , , , ,192696,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),516, , ,GE-1-1, , , , , , ,763900,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),144, , ,GE-1-1, , , , , , ,271522,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),44(@HSI-B-Pro-AE),229, , ,GE-1-1, , , , , , ,326212,N,Y,N,N,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1803, , ,GE-1-1, , , , , , ,842028,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),341, , ,GE-1-1, , , , , , ,379331,N,Y,N,N,Y,
Elizabethtown, , ,3(@AE Data),8(@AE Data 2/20),101, , ,GE-1-1, , , , , , ,CXNK00078D89,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),743, , ,GE-1-1, , , , , , ,789625,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1002, , ,GE-1-1, , , , , , ,662464,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),712, , ,GE-1-1, , , , , , ,385787,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),410, , ,GE-1-1, , , , , , ,800544,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1020, , ,GE-1-1, , , , , , ,CXNK0008DE96,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),53(@HSI-LITE-AE),616, , ,GE-1-1, , , , , , ,578030,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1317, , ,GE-1-1, , , , , , ,602736,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),336, , ,GE-1-1, , , , , , ,731961,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),53(@HSI-LITE-AE),118, , ,GE-1-1, , , , , , ,423482,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),55(@HSI-R-Pro-AE),613, , ,GE-1-1, , , , , , ,332470,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),411, , ,GE-1-1, , , , , , ,349384,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),725, , ,GE-1-1, , , , , , ,122588,N,Y,Y,Y,Y,
autodiscovered, , ,3(@AE Data),8(@AE Data 2/20),1105, , ,GE-1-1, , , , , , ,CXNK000798D0,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),55(@HSI-R-Pro-AE),306, , ,GE-1-1, , , , , , ,CXNK0008EE51,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),723, , ,GE-1-1, , , , , , ,546009,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1604, , ,GE-1-1, , , , , , ,200859,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1617, , ,GE-1-1, , , , , , ,378339,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),8(@AE Data 2/20),423, , ,GE-1-1, , , , , , ,CXNK00079519,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),744, , ,GE-1-1, , , , , , ,694070,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),46(@HSI-B-Turbo-AE),609, , ,GE-2-1, , , , , , ,CXNK0019F5AB,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),615, , ,GE-1-1, , , , , , ,992844,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),44(@HSI-B-Pro-AE),733, , ,GE-1-1, , , , , , ,713103,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),202, , ,GE-1-1, , , , , , ,847788,N,Y,N,N,Y,
Cave In Rock, , ,3(@AE Data),53(@HSI-LITE-AE),433, , ,GE-1-1, , , , , , ,CXNK0008DD3C,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1715, , ,GE-1-1, , , , , , ,371181,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),625, , ,GE-1-1, , , , , , ,466223,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1804, , ,GE-1-1, , , , , , ,737694,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1709, , ,GE-1-1, , , , , , ,862575,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),204, , ,GE-1-1, , , , , , ,772872,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),55(@HSI-R-Pro-AE),239, , ,GE-1-1, , , , , , ,193462,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),613, , ,GE-1-1, , , , , , ,402903,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),333, , ,GE-1-1, , , , , , ,CXNK0007949E,N,Y,Y,Y,Y,
Hicks, , ,23(@TLS),28(@AE TLS 5/1),1555, , ,GE-1-1, , , , , , ,CXNK0008DDFF,N,N,N,N,N,
Hicks, , ,23(@TLS),28(@AE TLS 5/1),1555, , ,GE-1-1, , , , , , ,CXNK0008DD3D,N,N,N,N,N,
Leamington, , ,3(@AE Data),55(@HSI-R-Pro-AE),146, , ,GE-1-1, , , , , , ,663322,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),55(@HSI-R-Pro-AE),139, , ,GE-1-1, , , , , , ,102959,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),424, , ,GE-1-1, , , , , , ,197814,N,Y,Y,Y,Y,
Equality, , ,3(@AE Data),53(@HSI-LITE-AE),1512, , ,GE-1-1, , , , , , ,504963,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),1602, , ,GE-1-1, , , , , , ,759650,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),312, , ,GE-1-1, , , , , , ,CXNK00079305,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),37(@HSI-R-Extreme-AE),802, , ,GE-1-1, , , , , , ,827272,N,Y,Y,Y,Y,
Golconda, , ,3(@AE Data),57(@HSI-R-Turbo-AE),334, , ,GE-1-1, , , , , , ,669715,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),522, , ,GE-1-1, , , , , , ,766552,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),44(@HSI-B-Pro-AE),844, , ,GE-1-1, , , , , , ,637435,N,Y,N,N,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),415, , ,GE-1-1, , , , , , ,481173,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),328, , ,GE-1-1, , , , , , ,971570,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),57(@HSI-R-Turbo-AE),738, , ,GE-1-1, , , , , , ,450091,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1401, , ,GE-1-1, , , , , , ,972834,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),230, , ,GE-1-1, , , , , , ,174980,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),53(@HSI-LITE-AE),202, , ,GE-1-1, , , , , , ,618390,N,Y,Y,Y,Y,
Cave In Rock, , ,3(@AE Data),53(@HSI-LITE-AE),445, , ,GE-1-1, , , , , , ,CXNK000F1802,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1110, , ,GE-1-1, , , , , , ,CXNK0008E461,N,Y,N,N,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1503, , ,GE-1-1, , , , , , ,812461,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),37(@HSI-R-Extreme-AE),1303, , ,GE-1-1, , , , , , ,315826,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),46(@HSI-B-Turbo-AE),1902, , ,GE-1-1, , , , , , ,CXNK0009575D,N,N,N,N,Y,
Golconda, , ,3(@AE Data),53(@HSI-LITE-AE),209, , ,GE-1-1, , , , , , ,460878,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),53(@HSI-LITE-AE),2118, , ,GE-1-1, , , , , , ,CXNK0008DD69,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),53(@HSI-LITE-AE),1608, , ,GE-1-1, , , , , , ,559069,N,Y,Y,Y,Y,
Rosiclare, , ,3(@AE Data),55(@HSI-R-Pro-AE),641, , ,GE-1-1, , , , , , ,CXNK000792F4,N,Y,Y,Y,Y,
Hicks, , ,23(@TLS),28(@AE TLS 5/1),1555, , ,GE-1-1, , , , , , ,CXNK0008DE13,N,N,N,N,N,
Simpson, , ,3(@AE Data),57(@HSI-R-Turbo-AE),205, , ,GE-1-1, , , , , , ,429914,N,Y,Y,Y,Y,
Simpson, , ,3(@AE Data),53(@HSI-LITE-AE),110, , ,GE-1-1, , , , , , ,394478,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),706, , ,GE-1-1, , , , , , ,391616,N,Y,Y,Y,Y,
Renshaw, , ,3(@AE Data),53(@HSI-LITE-AE),123, , ,GE-1-1, , , , , , ,912550,N,Y,N,N,Y,
Simpson, , ,3(@AE Data),57(@HSI-R-Turbo-AE),2129, , ,GE-1-1, , , , , , ,454257,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),55(@HSI-R-Pro-AE),335, , ,GE-1-1, , , , , , ,201716,N,Y,Y,Y,Y,
Hicks, , ,3(@AE Data),55(@HSI-R-Pro-AE),1307, , ,GE-1-1, , , , , , ,697218,N,Y,Y,Y,Y,
Eddyville, , ,3(@AE Data),53(@HSI-LITE-AE),741, , ,GE-1-1, , , , , , ,931839,N,Y,Y,Y,Y,
